שם ראשי,תואר,שם משני,קבוצה,קבוצה נוספת,סוג,קוד,שכונה
רחוב 51,,רב 51,קבוצה ו,,רחוב,1051,שכונה ו
רחוב 52,,רב 52,קבוצה ו,,רחוב,1052,שכונה ו
רחוב 53,,רב 53,קבוצה ו,,רחוב,1053,שכונה ו
רחוב 54,,רב 54,קבוצה ו,,רחוב,1054,שכונה ו
רחוב 55,,רב 55,קבוצה ו,,רחוב,1055,שכונה ו
רחוב 56,,רב 56,קבוצה ו,,רחוב,1056,שכונה ו
רחוב 57,,רב 57,קבוצה ו,,רחוב,1057,שכונה ו
רחוב 58,,רב 58,קבוצה ו,,רחוב,1058,שכונה ו
רחוב 59,,רב 59,קבוצה ו,,רחוב,1059,שכונה ו
רחוב 60,,רב 60,קבוצה ו,,רחוב,1060,שכונה ו
רחוב 61,,רב 61,קבוצה ז,,רחוב,1061,שכונה ז
רחוב 62,,רב 62,קבוצה ז,,רחוב,1062,שכונה ז
רחוב 63,,רב 63,קבוצה ז,,רחוב,1063,שכונה ז
רחוב 64,,רב 64,קבוצה ז,,רחוב,1064,שכונה ז
רחוב 65,,רב 65,קבוצה ז,,רחוב,1065,שכונה ז
רחוב 66,,רב 66,קבוצה ז,,רחוב,1066,שכונה ז
רחוב 67,,רב 67,קבוצה ז,,רחוב,1067,שכונה ז
רחוב 68,,רב 68,קבוצה ז,,רחוב,1068,שכונה ז
רחוב 69,,רב 69,קבוצה ז,,רחוב,1069,שכונה ז
רחוב 70,,רב 70,קבוצה ז,,רחוב,1070,שכונה ז
רחוב 71,,רב 71,קבוצה ח,,רחוב,1071,שכונה ח
רחוב 72,,רב 72,קבוצה ח,,רחוב,1072,שכונה ח
רחוב 73,,רב 73,קבוצה ח,,רחוב,1073,שכונה ח
רחוב 74,,רב 74,קבוצה ח,,רחוב,1074,שכונה ח
רחוב 75,,רב 75,קבוצה ח,,רחוב,1075,שכונה ח
רחוב 76,,רב 76,קבוצה ח,,רחוב,1076,שכונה ח
רחוב 77,,רב 77,קבוצה ח,,רחוב,1077,שכונה ח
רחוב 78,,רב 78,קבוצה ח,,רחוב,1078,שכונה ח
רחוב 79,,רב 79,קבוצה ח,,רחוב,1079,שכונה ח
רחוב 80,,רב 80,קבוצה ח,,רחוב,1080,שכונה ח
רחוב 81,,רב 81,קבוצה ט,,רחוב,1081,שכונה ט
רחוב 82,,רב 82,קבוצה ט,,רחוב,1082,שכונה ט
רחוב 83,,רב 83,קבוצה ט,,רחוב,1083,שכונה ט
רחוב 84,,רב 84,קבוצה ט,,רחוב,1084,שכונה ט
רחוב 85,,רב 85,קבוצה ט,,רחוב,1085,שכונה ט
רחוב 86,,רב 86,קבוצה ט,,רחוב,1086,שכונה ט
רחוב 87,,רב 87,קבוצה ט,,רחוב,1087,שכונה ט
רחוב 88,,רב 88,קבוצה ט,,רחוב,1088,שכונה ט
רחוב 89,,רב 89,קבוצה ט,,רחוב,1089,שכונה ט
רחוב 90,,רב 90,קבוצה ט,,רחוב,1090,שכונה ט
רחוב 91,,רב 91,קבוצה י,,רחוב,1091,שכונה י
רחוב 92,,רב 92,קבוצה י,,רחוב,1092,שכונה י
רחוב 93,,רב 93,קבוצה י,,רחוב,1093,שכונה י
רחוב 94,,רב 94,קבוצה י,,רחוב,1094,שכונה י
רחוב 95,,רב 95,קבוצה י,,רחוב,1095,שכונה י
רחוב 96,,רב 96,קבוצה י,,רחוב,1096,שכונה י
רחוב 97,,רב 97,קבוצה י,,רחוב,1097,שכונה י
רחוב 98,,רב 98,קבוצה י,,רחוב,1098,שכונה י
רחוב 99,,רב 99,קבוצה י,,רחוב,1099,שכונה י
רחוב 100,,רב 100,קבוצה י,,רחוב,1100,שכונה י
